id,h_mean,v_mean,s_mean,h_std,v_std,s_std,contrast,dissimilarity,homogeneity,asm,correlation,entropy,intensity_mean,intensity_std
242,133.88115,32.391552,152.72499,80.060776,38.912582,32.22221,0.3772903225806452,0.26206451612903225,0.8802486060429136,0.08333502185223726,0.9629965071550559,7.072173,144.21965,35.63524
449,124.96574,21.206144,214.1929,61.18435,15.523392,54.813393,2.586193548387097,0.7116129032258065,0.7871972345084349,0.31990605411030165,0.8645398146906461,4.5945187,199.96146,50.10996
388,169.52203,14.079168,202.32864,25.498257,21.600769,44.229874,0.9630322580645161,0.5852258064516129,0.7449582542694497,0.12662972528616026,0.9395991206966404,6.7792444,195.11658,44.970497
42,178.28874,38.012543,145.26144,91.75833,54.47026,40.39263,1.2087096774193546,0.5474193548387096,0.7799043966991205,0.07922484703433924,0.9153733792797285,7.1622524,137.69824,42.382687
1370,49.25307,124.1703,172.00084,68.77218,76.62369,46.85205,0.8803225806451613,0.33696774193548384,0.8709216433061218,0.19665048074921956,0.963598336709172,5.572465,135.05226,55.01071
217,26.420918,46.21376,195.9255,104.95338,51.17699,69.29687,5.747612903225807,1.2598709677419353,0.6490268065642383,0.12553772320499482,0.8663275274939297,6.986789,184.87532,75.41492
1734,14.348141,74.469505,223.63393,30.344627,63.572582,46.042095,1.7793548387096774,0.704,0.7373490056667575,0.10120468678459937,0.9120862418942153,6.807908,198.9862,51.44007
1355,45.43907,98.37043,113.99443,76.780975,55.201683,71.387764,1.100967741935484,0.6013548387096773,0.7442020842094467,0.03864385639958377,0.9693818610163686,7.7150726,100.5853,67.721214
183,19.388351,26.722113,223.40282,72.57569,32.298668,39.14615,2.810903225806452,0.8883225806451613,0.7077385929894746,0.16988700728407907,0.8066866786989052,6.2280073,215.23476,44.73153
1732,0.0,0.0,184.75629,-0.0,0.0,62.641212,4.595032258064516,1.443032258064516,0.5396373148519523,0.06447433506763788,0.845433090034112,7.2616243,184.75629,62.641212
1129,18.600788,23.919489,180.90836,15.449193,14.574851,20.646202,0.4079354838709678,0.3269032258064516,0.8442437813378991,0.15833435587929245,0.899069525533019,6.039846,175.12502,21.959461
34,57.747456,140.92947,191.54323,89.10963,89.09879,57.13908,0.9716774193548388,0.2883225806451613,0.9014472902162205,0.1822518730489074,0.9718262042202676,5.456126,132.17682,69.53645
345,7.9278054,12.769408,172.83661,19.394993,6.933827,25.833986,0.20219354838709674,0.10283870967741934,0.9577535810514937,0.4280840957336108,0.9622613380393819,4.6569934,168.9527,25.755592
1445,99.238144,92.86336,95.42694,31.044422,64.405266,72.82064,1.8590322580645164,0.7632903225806451,0.7086327206982785,0.043658801248699274,0.9548222075602182,7.5578527,84.82662,72.396225
